,time,ticket,open,high,low,close,volume
13,2023-01-03,VPB,15.86,16.3,15.68,16.3,20278576
14,2023-01-04,VPB,16.3,17.0,16.3,16.65,42542898
15,2023-01-05,VPB,16.74,16.78,16.34,16.7,15388471
16,2023-01-06,VPB,16.61,17.31,16.56,16.7,31414096
17,2023-01-09,VPB,16.92,17.0,16.56,16.61,18734060
18,2023-01-10,VPB,16.61,16.74,16.34,16.48,13487263
19,2023-01-11,VPB,16.74,16.74,16.26,16.26,17429954
20,2023-01-12,VPB,16.39,16.52,16.21,16.48,15247321
21,2023-01-13,VPB,16.61,17.18,16.34,17.09,25705415
22,2023-01-16,VPB,17.27,17.27,16.92,17.09,17944114
23,2023-01-17,VPB,17.18,17.27,17.05,17.27,32916036
24,2023-01-18,VPB,17.27,17.45,17.09,17.31,19678368
25,2023-01-19,VPB,17.23,17.36,17.09,17.18,18350355
26,2023-01-27,VPB,17.31,17.84,17.09,17.36,24446611
27,2023-01-30,VPB,17.36,17.4,16.96,16.96,23822248
28,2023-01-31,VPB,16.87,17.18,16.78,17.14,25098258
29,2023-02-01,VPB,17.23,17.27,15.95,16.12,32201821
30,2023-02-02,VPB,16.39,16.48,15.99,16.21,25934059
31,2023-02-03,VPB,16.3,16.34,15.9,16.08,20041520
32,2023-02-06,VPB,15.99,16.34,15.82,16.3,16963863
33,2023-02-07,VPB,16.34,16.43,15.82,15.82,15660834
34,2023-02-08,VPB,15.95,16.08,15.73,15.82,11580363
35,2023-02-09,VPB,15.82,16.34,15.77,15.86,15159642
36,2023-02-10,VPB,15.86,16.12,15.42,15.42,13105005
37,2023-02-13,VPB,15.51,15.55,14.63,14.98,25788375
38,2023-02-14,VPB,14.98,15.15,14.71,14.71,16874940
39,2023-02-15,VPB,14.71,15.15,14.71,15.15,12675676
40,2023-02-16,VPB,15.33,15.51,15.07,15.42,14456594
41,2023-02-17,VPB,15.24,15.42,15.15,15.24,10771460
42,2023-02-20,VPB,15.07,16.12,15.07,16.12,20556535
43,2023-02-21,VPB,16.21,16.21,15.68,15.68,18378890
44,2023-02-22,VPB,15.51,15.86,15.37,15.37,17000870
